url,web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,289,289,MOBILHOME 6 personnes - Cottage 3 chambres climatisé + TV,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,,14,camping-club-le-littoral-76763,
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,432.96,290.08,MOBILHOME 6 personnes - Cottage 4 Pièces 6 Personnes Climatisé + TV,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,,14,camping-club-le-littoral-76763,
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,396,297,MOBILHOME 4 personnes - Sumba CLASSIC Climatisé,Camping Club Le Littoral,4 Adultes, 66700 ARGELES,,,14,camping-club-le-littoral-76763,
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,425.50,319.50,MOBILHOME 4 personnes - Sumba CONFORT Climatisé,Camping Club Le Littoral,4 Adultes, 66700 ARGELES,,,14,camping-club-le-littoral-76763,
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,428,321,MOBILHOME 6 personnes - Malaga CLASSIC Climatié 4/6 p,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,,14,camping-club-le-littoral-76763,
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,434.25,326.25,MOBILHOME 4 personnes - Azur CONFORT Climatisé,Camping Club Le Littoral,4 Adultes, 66700 ARGELES,,,14,camping-club-le-littoral-76763,
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,441.50,331.50,MOBILHOME 4 personnes - Bergame CONFORT Climatisé,Camping Club Le Littoral,4 Adultes, 66700 ARGELES,,,14,camping-club-le-littoral-76763,
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,403.47,334.88,MOBILHOME 6 personnes - Cottage 3 Pièces Climatisé + TV,Camping Club Le Littoral,4 Adultes, 66700 ARGELES,,,14,camping-club-le-littoral-76763,
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,464.75,348.75,MOBILHOME 6 personnes - Nirvana CLASSIC Climatisé,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,,14,camping-club-le-littoral-76763,
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,492.75,369.75,MOBILHOME 6 personnes - Venezia CONFORT Climatisé,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,,14,camping-club-le-littoral-76763,
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,516,387,MOBILHOME 6 personnes - Bahia CONFORT Climatisé,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,,14,camping-club-le-littoral-76763,
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,641.50,481.50,MOBILHOME 8 personnes - Family CONFORT Climaisé,Camping Club Le Littoral,8 Adultes, 66700 ARGELES,,,14,camping-club-le-littoral-76763,
https://www.campings.com/fr/camping/le-pearl-camping-paradis-76750#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,169,169,MOBILHOME 4 personnes - Classique (arrivée samedi),Le Pearl - Camping Paradis,4 Adultes, 66700 ARGELES,,,14,le-pearl-camping-paradis-76750,
https://www.campings.com/fr/camping/le-pearl-camping-paradis-76750#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,229,229,MOBILHOME 5 personnes - Confort  (arrivée samedi),Le Pearl - Camping Paradis,5 Adultes, 66700 ARGELES,,,14,le-pearl-camping-paradis-76750,
https://www.campings.com/fr/camping/le-pearl-camping-paradis-76750#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,239,239,MOBILHOME 7 personnes - Confort  (arrivée samedi),Le Pearl - Camping Paradis,7 Adultes, 66700 ARGELES,,,14,le-pearl-camping-paradis-76750,
